month_start,user_months,active_users,gross_contribution,auto_investment,auto_roundup,roundup,lump_sum,found_money,reward,user_transfer,dividend,fee,withdrawal,net_flow_after_withdrawal_fee,total_end_balance,signins,crypto_portfolio_users,crypto_portfolio_share,portfolio_switches,portfolio_switch_rate
2021-12-01,598038,598038,51901566.66004423,26114522.2,8814897.41,143560.69,16729479.850044306,3990.82,73115.69000000008,22000.0,7628.171998576298,1025426.7653527112,40448898.31,10434869.756690176,836856264.0436437,384949.0,67475.0,0.11282727853413997,7260.0,0.012139696808564004
2022-01-01,605581,605581,49712131.84003408,24224959.16,7688134.880000009,158559.76000000007,17484652.690034084,112972.65000000013,20360.7,22492.0,5089510.6144454805,1031428.2886595563,48278942.5,5491271.665819984,810323744.330196,357989.0,68280.0,0.1127512256824438,9268.0,0.015304311066562524
2022-02-01,610730,610730,43637770.99001292,23071836.089999996,7675617.370000002,133042.58,12630359.23001296,83361.2200000001,11897.5,31657.0,5957.331124241692,1030574.4384660722,41181401.43999998,1431752.442671132,797330888.8363415,375440.0,68860.0,0.11275031519656804,7069.0,0.011574672932392383
2022-03-01,615458,615458,46244698.860001445,25099749.599999994,8908741.109999998,141937.21,11958279.20000147,79747.74000000005,23485.0,32759.0,5077.762256469892,1034066.4989929507,38908925.86999999,6306784.253264975,820354587.4450235,423996.0,69450.0,0.1128427934968755,7301.0,0.011862710371788165
2022-04-01,620421,620421,42355582.08000038,23881519.84,7628700.510000004,130360.99,10579667.740000473,99460.00000000007,17100.0,18773.0,3638481.385410383,1031682.3613548861,31519574.029999983,13442807.074055992,819934401.3537763,413181.0,70178.0,0.1131135148552354,6609.0,0.010652444066206657
2022-05-01,625942,625942,41361709.17000039,23730559.269999996,7930642.220000006,153500.54000000004,9456672.03000035,81722.61000000007,8612.5,0.0,6176.660554669195,1036340.8591966117,40298147.4,33397.57135841494,804975608.6035863,443505.0,69902.0,0.11167488361541485,8818.0,0.014087567218687994
2022-06-01,630162,630162,37184740.90000025,22152961.469999995,7798278.269999988,131488.88000000003,7011784.24000025,78246.04000000002,11982.0,0.0,13099.095264160605,1028695.9594840612,43205522.82999999,-7036378.7942196615,745245488.4365907,425737.0,69237.0,0.10987174726498901,7567.0,0.01200802333368245
2022-07-01,634135,634135,37371197.66000016,21417308.58,7518933.960000013,127577.53000000004,8210534.09000019,84586.32000000008,7789.18,4468.0,13038368.234888626,1019238.818952546,25319871.749999993,24070455.32593628,792654665.3846774,430381.0,69170.0,0.10907772004383924,5837.0,0.009204664621886507
2022-08-01,638293,638293,44651893.73000025,23269886.58,8397750.260000007,156533.21000000005,12708397.650000142,110840.96999999999,8485.06,0.0,37612.53027162673,1023272.4982343152,30387214.819999997,13279018.942037465,804938905.5916301,461937.0,69928.0,0.1095547029342324,5707.0,0.00894103491656653
2022-09-01,642299,642299,39404848.64000002,23343823.85,8166439.5600000145,129304.29,7576223.740000077,171857.1999999997,17200.0,0.0,60399.21029160417,1024911.1198799876,33289600.58999999,5150736.140411691,763353226.4059057,390441.0,69977.0,0.10894770192698416,6346.0,0.009880133707198672
2022-10-01,646265,646265,34850595.7500003,20938900.349999998,7586146.309999997,110271.99000000002,6118977.240000305,86574.86000000004,9725.0,0.0,5401103.991341876,1018996.7677930503,34424081.819999985,4808621.153549133,796475689.2231634,304692.0,70180.0,0.10859322414179942,6031.0,0.009332085135354691
2022-11-01,649497,649497,38505487.49000022,21394890.09,8164806.470000006,131287.43,8694333.96000021,99190.04000000004,18413.5,2566.0,78915.26148265599,1017221.4937423172,35997819.48999998,1569361.7677405542,837832845.7420406,367032.0,70071.0,0.1078850248730941,5058.0,0.007787564838636668
2022-12-01,652183,652183,38253980.56000006,22304826.49,7640676.050000015,110134.91999999998,8052277.510000019,124207.59000000001,20130.0,1728.0,85972.0346213802,1016692.5829246975,35671795.65,1651464.361696705,819499796.1284825,223803.0,69706.0,0.10688104412411854,6436.0,0.009868395833684717
